WPNo;StepNo;ONo;OPos;Description;OpNo;NextStepNo;FirstStep;ErrorStepNo;NewPNo;PlannedStart;PlannedEnd;Start;End;OPNoType;ResourceID;TransportTime;ErrorStep;ElectricEnergyCalc;ElectricEnergyReal;CompressedAirCalc;CompressedAirReal;FreeString;StaffId;ErrorRetVal;Active
9000;10;1000;1;service;1030;0;1;0;0;2017-01-19 07:49:00;2017-01-19 07:49:00;2017-01-19 08:30:00;2017-01-19 09:05:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1001;1;service;1030;0;1;0;0;2016-04-19 07:47:00;2016-04-19 07:47:00;2016-04-19 08:30:00;2016-04-19 09:05:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1002;1;service;1030;0;1;0;0;2016-02-02 03:23:00;2016-02-02 03:23:00;2016-02-02 03:30:00;2016-02-02 03:45:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1003;1;service;1030;0;1;0;0;2016-10-28 14:04:00;2016-10-28 14:04:00;2016-10-28 14:30:00;2016-10-28 14:50:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1004;1;service;1030;0;1;0;0;2017-01-12 10:36:00;2017-01-12 10:36:00;2017-01-12 11:00:00;2017-01-12 13:00:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1005;1;service;1030;0;1;0;0;2016-07-30 06:11:00;2016-07-30 06:11:00;2016-07-30 06:30:00;2016-07-30 07:10:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1006;1;service;1030;0;1;0;0;2017-06-24 16:51:00;2017-06-24 16:51:00;2017-06-24 17:00:00;2017-06-24 17:50:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1007;1;service;1030;0;1;0;0;2016-06-24 16:42:00;2016-06-24 16:42:00;2016-06-24 17:00:00;2016-06-24 17:20:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1008;1;service;1030;0;1;0;0;2016-03-04 21:33:00;2016-03-04 21:33:00;2016-03-04 22:00:00;2016-03-04 22:25:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1009;1;service;1030;0;1;0;0;2016-04-02 10:19:00;2016-04-02 10:19:00;2016-04-02 11:00:00;2016-04-02 13:00:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1010;1;service;1030;0;1;0;0;2017-05-09 09:13:00;2017-05-09 09:13:00;2017-05-09 09:30:00;2017-05-09 10:05:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1011;1;service;1030;0;1;0;0;2016-10-15 06:56:00;2016-10-15 06:56:00;2016-10-15 07:00:00;2016-10-15 07:45:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1012;1;service;1030;0;1;0;0;2016-03-04 14:19:00;2016-03-04 14:19:00;2016-03-04 14:45:00;2016-03-04 15:50:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1013;1;service;1030;0;1;0;0;2016-02-28 14:04:00;2016-02-28 14:04:00;2016-02-28 14:30:00;2016-02-28 14:50:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1014;1;service;1030;0;1;0;0;2016-03-31 09:54:00;2016-03-31 09:54:00;2016-03-31 10:00:00;2016-03-31 10:30:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1015;1;service;1030;0;1;0;0;2016-07-09 09:05:00;2016-07-09 09:05:00;2016-07-09 09:30:00;2016-07-09 09:45:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1016;1;service;1030;0;1;0;0;2017-02-28 00:26:00;2017-02-28 00:26:00;2017-02-28 01:00:00;2017-02-28 01:50:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1017;1;service;1030;0;1;0;0;2016-06-18 05:02:00;2016-06-18 05:02:00;2016-06-18 05:30:00;2016-06-18 07:00:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1018;1;service;1030;0;1;0;0;2016-02-15 06:57:00;2016-02-15 06:57:00;2016-02-15 07:00:00;2016-02-15 07:45:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1019;1;service;1030;0;1;0;0;2016-06-09 09:26:00;2016-06-09 09:26:00;2016-06-09 09:30:00;2016-06-09 10:05:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1020;1;service;1030;0;1;0;0;2016-09-25 22:54:00;2016-09-25 22:54:00;2016-09-25 23:30:00;2016-09-26 00:10:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1021;1;service;1030;0;1;0;0;2017-04-02 12:20:00;2017-04-02 12:20:00;2017-04-02 12:30:00;2017-04-02 13:10:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1022;1;service;1030;0;1;0;0;2017-02-12 18:42:00;2017-02-12 18:42:00;2017-02-12 19:00:00;2017-02-12 20:20:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1023;1;service;1030;0;1;0;0;2017-03-30 03:33:00;2017-03-30 03:33:00;2017-03-30 04:00:00;2017-03-30 05:00:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1024;1;service;1030;0;1;0;0;2017-01-10 09:32:00;2017-01-10 09:32:00;2017-01-10 10:00:00;2017-01-10 11:30:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1025;1;service;1030;0;1;0;0;2016-09-10 07:23:00;2016-09-10 07:23:00;2016-09-10 07:45:00;2016-09-10 08:45:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1026;1;service;1030;0;1;0;0;2017-02-02 04:44:00;2017-02-02 04:44:00;2017-02-02 05:00:00;2017-02-02 05:10:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1027;1;service;1030;0;1;0;0;2016-05-29 00:54:00;2016-05-29 00:54:00;2016-05-29 01:00:00;2016-05-29 01:50:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1028;1;service;1030;0;1;0;0;2016-03-03 05:44:00;2016-03-03 05:44:00;2016-03-03 06:00:00;2016-03-03 06:10:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1029;1;service;1030;0;1;0;0;2016-12-04 14:17:00;2016-12-04 14:17:00;2016-12-04 14:45:00;2016-12-04 15:50:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1030;1;service;1030;0;1;0;0;2016-10-02 03:22:00;2016-10-02 03:22:00;2016-10-02 03:30:00;2016-10-02 03:45:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1031;1;service;1030;0;1;0;0;2016-07-24 16:32:00;2016-07-24 16:32:00;2016-07-24 17:00:00;2016-07-24 17:50:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1032;1;service;1030;0;1;0;0;2017-08-30 06:03:00;2017-08-30 06:03:00;2017-08-30 06:30:00;2017-08-30 07:10:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1033;1;service;1030;0;1;0;0;2016-06-02 12:28:00;2016-06-02 12:28:00;2016-06-02 12:30:00;2016-06-02 13:10:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1034;1;service;1030;0;1;0;0;2016-05-30 03:25:00;2016-05-30 03:25:00;2016-05-30 04:00:00;2016-05-30 05:00:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1035;1;service;1030;0;1;0;0;2016-05-12 18:32:00;2016-05-12 18:32:00;2016-05-12 19:00:00;2016-05-12 20:20:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1036;1;service;1030;0;1;0;0;2016-01-10 07:02:00;2016-01-10 07:02:00;2016-01-10 07:45:00;2016-01-10 08:05:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1037;1;service;1030;0;1;0;0;2016-05-02 04:46:00;2016-05-02 04:46:00;2016-05-02 05:00:00;2016-05-02 05:20:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1038;1;service;1030;0;1;0;0;2016-12-03 05:49:00;2016-12-03 05:49:00;2016-12-03 06:00:00;2016-12-03 07:10:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1039;1;service;1030;0;1;0;0;2016-06-30 05:50:00;2016-06-30 05:50:00;2016-06-30 06:30:00;2016-06-30 07:10:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1040;1;service;1030;0;1;0;0;2016-12-04 21:37:00;2016-12-04 21:37:00;2016-12-04 22:00:00;2016-12-04 22:25:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1041;1;service;1030;0;1;0;0;2016-01-25 23:02:00;2016-01-25 23:02:00;2016-01-25 23:30:00;2016-01-26 00:10:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1042;1;service;1030;0;1;0;0;2016-07-29 22:43:00;2016-07-29 22:43:00;2016-07-29 23:00:00;2016-07-29 23:35:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1043;1;service;1030;0;1;0;0;2017-06-29 22:58:00;2017-06-29 22:58:00;2017-06-29 23:00:00;2017-06-29 23:15:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1044;1;service;1030;0;1;0;0;2016-07-18 04:57:00;2016-07-18 04:57:00;2016-07-18 05:30:00;2016-07-18 07:00:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1045;1;service;1030;0;1;0;0;2017-05-18 05:21:00;2017-05-18 05:21:00;2017-05-18 05:30:00;2017-05-18 07:00:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1046;1;service;1030;0;1;0;0;2016-01-13 17:23:00;2016-01-13 17:23:00;2016-01-13 17:30:00;2016-01-13 18:35:00;1;4;0;0;0;0;0;0;0;0;0;0
9000;10;1047;1;service;1030;0;1;0;0;2016-09-13 17:13:00;2016-09-13 17:13:00;2016-09-13 17:30:00;2016-09-13 18:35:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1048;1;service;1030;0;1;0;0;2017-07-30 05:50:00;2017-07-30 05:50:00;2017-07-30 06:30:00;2017-07-30 07:10:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1049;1;service;1030;0;1;0;0;2016-07-02 11:55:00;2016-07-02 11:55:00;2016-07-02 12:30:00;2016-07-02 13:10:00;1;0;0;0;0;0;0;0;0;0;0;0
9000;10;1050;1;service;1030;0;1;0;0;2016-06-29 22:29:00;2016-06-29 22:29:00;2016-06-29 23:00:00;2016-06-29 23:35:00;1;0;0;0;0;0;0;0;0;0;0;0
1;10;2007;1;Select parts to remove;1104;20;1;0;0;2023-10-09 16:56:07;2023-10-09 16:56:07;2023-10-09 16:56:15;2023-10-09 16:56:15;1;0;0;0;0;0;0;0;SELECT IF(#Parameter9<2, 1, 0) as ReturnValue;0;0;1
11;10;2007;101;release a part on stopper 1;212;20;1;0;0;2023-10-09 16:56:08;2023-10-09 16:56:28;2023-10-09 16:58:12;2023-10-09 16:58:19;1;1;0;0;0;0;0;0;;0;0;1
9000;10;2024;1;service;1030;0;1;0;0;2020-11-02 16:01:19;2020-11-02 16:01:19;2020-11-02 16:01:28;2020-11-02 16:02:59;1;0;0;0;0;0;0;0;0;0;0;0
1;10;2044;1;Start: check buffer state and avaialbel orders order;1109;20;1;0;0;2023-10-10 17:58:27;2023-10-10 17:58:27;2023-10-10 17:58:34;2023-10-10 17:58:34;1;0;0;0;0;0;0;0;SELECT IF((#Parameter1 + #Parameter2)<=2, 1, 0) as ReturnValue;0;0;1
1;10;2046;1;Start: check buffer state and avaialbel orders order;1109;20;1;0;0;2023-10-10 18:25:52;2023-10-10 18:25:52;2023-10-10 18:26:02;2023-10-10 18:26:02;1;0;0;0;0;0;0;0;SELECT IF((#Parameter1 + #Parameter2)<=2, 1, 0) as ReturnValue;0;0;1
9;10;2046;101;release a part on stopper 1;212;20;1;0;0;2023-10-10 18:25:53;2023-10-10 18:26:13;2023-10-10 18:27:08;2023-10-10 18:27:14;1;1;0;0;0;0;0;0;;0;0;1
9;10;2046;102;release a part on stopper 1;212;20;1;0;0;2023-10-10 18:26:13;2023-10-10 18:26:33;2023-10-10 18:28:44;2023-10-10 18:28:49;1;1;0;0;0;0;0;0;;0;0;1
9;10;2046;103;release a part on stopper 1;212;20;1;0;0;2023-10-10 18:26:33;2023-10-10 18:26:53;2023-10-10 18:29:28;2023-10-10 18:29:34;1;1;0;0;0;0;0;0;;0;0;1
6002;10;2047;1;store box to target;215;20;1;0;0;2023-10-12 09:03:01;2023-10-12 09:03:01;2023-10-12 09:04:00;2023-10-12 09:04:02;1;11;0;0;0;0;0;0;;0;0;1
9000;10;2049;1;service;1030;0;1;0;0;2020-11-05 10:56:44;2020-11-05 10:56:44;2020-11-05 14:11:45;2020-11-05 14:12:01;1;0;0;0;0;0;0;0;0;0;0;0
3;10;2050;1;Start: check buffer state and avaialbel orders order;1109;20;1;0;0;2023-10-12 11:02:33;2023-10-12 11:02:33;2023-10-12 11:02:46;2023-10-12 11:02:46;1;0;0;0;0;0;0;0;SELECT IF((#Parameter1 + #Parameter2)<=2, 1, 0) as ReturnValue;0;0;1
3;10;2051;1;Start: check buffer state and avaialbel orders order;1109;20;1;0;0;2023-10-12 11:03:17;2023-10-12 11:03:17;2023-10-12 11:03:27;2023-10-12 11:03:27;1;0;0;0;0;0;0;0;SELECT IF((#Parameter1 + #Parameter2)<=2, 1, 0) as ReturnValue;0;0;1
3;10;2052;1;Start: check buffer state and avaialbel orders order;1109;20;1;0;0;2023-10-12 11:03:32;2023-10-12 11:03:32;2023-10-12 11:03:40;2023-10-12 11:03:40;1;0;0;0;0;0;0;0;SELECT IF((#Parameter1 + #Parameter2)<=2, 1, 0) as ReturnValue;0;0;1
9000;10;2062;1;service;1030;0;1;0;0;2023-10-16 09:31:51;2023-10-16 09:31:51;2023-10-16 09:32:24;2023-10-16 09:32:31;1;0;0;0;0;0;0;0;;0;0;1
9000;10;2063;1;service;1030;0;1;0;0;2023-10-16 09:31:57;2023-10-16 09:31:57;2023-10-16 09:32:45;2023-10-16 09:32:52;1;0;0;0;0;0;0;0;;0;0;1
9000;10;2064;1;service;1030;0;1;0;0;2023-10-16 10:36:19;2023-10-16 10:36:19;2023-10-16 10:36:39;2023-10-16 10:36:46;1;0;0;0;0;0;0;0;;0;0;1
9000;10;2065;1;service;1030;0;1;0;0;2023-10-16 10:38:25;2023-10-16 10:38:25;2023-10-16 10:40:48;2023-10-16 10:41:00;1;0;0;0;0;0;0;0;;0;0;1
9000;10;2073;1;service;1030;0;1;0;0;2023-10-16 10:57:00;2023-10-16 10:57:00;2023-10-16 10:58:12;2023-10-16 10:58:18;1;0;0;0;0;0;0;0;;0;0;1
5000;10;2074;1;release a part on stopper 1;212;20;1;0;0;2023-10-16 15:20:07;2023-10-16 15:20:27;2023-10-16 16:17:58;2023-10-16 16:18:16;1;1;0;0;0;0;0;0;;0;0;1
5000;10;2074;2;release a part on stopper 1;212;20;1;0;0;2023-10-16 15:20:27;2023-10-16 15:20:47;2023-10-16 16:18:19;2023-10-16 16:18:35;1;1;0;0;0;0;0;0;;0;0;1
5000;10;2074;3;release a part on stopper 1;212;20;1;0;0;2023-10-16 15:20:47;2023-10-16 15:21:07;2023-10-16 16:18:37;2023-10-16 16:18:53;1;1;0;0;0;0;0;0;;0;0;1
2;10;2076;1;Start: check buffer state and avaialbel orders order;1109;20;1;0;0;2023-10-16 16:07:43;2023-10-16 16:07:43;2023-10-16 16:18:07;2023-10-16 16:18:07;1;0;0;0;0;0;0;0;SELECT IF((#Parameter1 + #Parameter2)<=2, 1, 0) as ReturnValue;0;0;1
10;10;2076;101;manual boxing;502;0;1;0;0;2023-10-16 16:18:05;2023-10-16 16:18:05;2023-10-16 16:19:28;2023-10-16 16:19:39;1;11;0;0;0;0;0;0;;0;0;1
10;10;2076;102;manual boxing;502;0;1;0;0;2023-10-16 16:18:05;2023-10-16 16:18:05;2023-10-16 16:19:28;2023-10-16 16:19:39;1;11;0;0;0;0;0;0;;0;0;1
10;10;2076;103;manual boxing;502;0;1;0;0;2023-10-16 16:18:05;2023-10-16 16:18:05;2023-10-16 16:19:28;2023-10-16 16:19:39;1;11;0;0;0;0;0;0;;0;0;1
5000;10;2077;1;release a part on stopper 1;212;20;1;0;0;2023-10-16 16:18:06;2023-10-16 16:18:26;2023-10-16 16:45:36;2023-10-16 16:45:54;1;1;0;0;0;0;0;0;;0;0;1
5000;10;2077;2;release a part on stopper 1;212;20;1;0;0;2023-10-16 16:18:26;2023-10-16 16:18:46;2023-10-16 16:45:57;2023-10-16 16:46:14;1;1;0;0;0;0;0;0;;0;0;1
5000;10;2077;3;release a part on stopper 1;212;20;1;0;0;2023-10-16 16:18:46;2023-10-16 16:19:06;2023-10-16 16:46:17;2023-10-16 16:46:35;1;1;0;0;0;0;0;0;;0;0;1
2;10;2078;1;Start: check buffer state and avaialbel orders order;1109;20;1;0;0;2023-10-16 16:44:40;2023-10-16 16:44:40;2023-10-16 16:44:53;2023-10-16 16:44:53;1;0;0;0;0;0;0;0;SELECT IF((#Parameter1 + #Parameter2)<=2, 1, 0) as ReturnValue;0;0;1
10;10;2078;101;manual boxing;502;0;1;0;0;2023-10-16 16:44:52;2023-10-16 16:44:52;2023-10-16 16:46:09;2023-10-16 16:46:10;1;11;0;0;0;0;0;0;;0;0;1
10;10;2078;102;manual boxing;502;0;1;0;0;2023-10-16 16:44:52;2023-10-16 16:44:52;2023-10-16 16:46:09;2023-10-16 16:46:10;1;11;0;0;0;0;0;0;;0;0;1
10;10;2078;103;manual boxing;502;0;1;0;0;2023-10-16 16:44:52;2023-10-16 16:44:52;2023-10-16 16:46:09;2023-10-16 16:46:10;1;11;0;0;0;0;0;0;;0;0;1
5000;10;2079;1;release a part on stopper 1;212;20;1;0;0;2023-10-16 16:54:22;2023-10-16 16:54:42;2023-10-16 17:02:42;2023-10-16 17:02:59;1;1;0;0;0;0;0;0;;0;0;1
5000;10;2079;2;release a part on stopper 1;212;20;1;0;0;2023-10-16 16:54:42;2023-10-16 16:55:02;2023-10-16 17:03:02;2023-10-16 17:03:21;1;1;0;0;0;0;0;0;;0;0;1
5000;10;2079;3;release a part on stopper 1;212;20;1;0;0;2023-10-16 16:55:02;2023-10-16 16:55:22;2023-10-16 17:03:24;2023-10-16 17:03:43;1;1;0;0;0;0;0;0;;0;0;1
2;10;2080;1;Start: check buffer state and avaialbel orders order;1109;20;1;0;0;2023-10-16 17:02:41;2023-10-16 17:02:41;2023-10-16 17:02:55;2023-10-16 17:02:55;1;0;0;0;0;0;0;0;SELECT IF((#Parameter1 + #Parameter2)<=2, 1, 0) as ReturnValue;0;0;1
10;10;2080;101;manual boxing;502;0;1;0;0;2023-10-16 17:02:54;2023-10-16 17:02:54;2023-10-16 17:05:55;2023-10-16 17:07:07;1;11;0;0;0;0;0;0;;0;0;1
10;10;2080;102;manual boxing;502;0;1;0;0;2023-10-16 17:02:54;2023-10-16 17:02:54;2023-10-16 17:07:13;2023-10-16 17:07:14;1;11;0;0;0;0;0;0;;0;0;1
10;10;2080;103;manual boxing;502;0;1;0;0;2023-10-16 17:02:54;2023-10-16 17:02:54;2023-10-16 17:06:56;2023-10-16 17:06:59;1;11;0;0;0;0;0;0;;0;0;1
6000;10;2082;1;Select Box with content;1102;20;1;0;0;2023-10-16 17:17:54;2023-10-16 17:17:54;2023-10-16 17:18:00;2023-10-16 17:18:00;1;0;0;0;0;0;0;0;SELECT IF(#Parameter3>0, 1, 0) as ReturnValue;0;0;1
5000;10;2083;1;release a part on stopper 1;212;20;1;0;0;2023-10-16 17:24:49;2023-10-16 17:25:09;2023-10-16 17:25:14;2023-10-16 17:25:32;1;1;0;0;0;0;0;0;;0;0;1
5000;10;2083;2;release a part on stopper 1;212;20;1;0;0;2023-10-16 17:25:09;2023-10-16 17:25:29;2023-10-16 17:25:35;2023-10-16 17:25:54;1;1;0;0;0;0;0;0;;0;0;1
5000;10;2083;3;release a part on stopper 1;212;20;1;0;0;2023-10-16 17:25:29;2023-10-16 17:25:49;2023-10-16 17:25:56;2023-10-16 17:26:17;1;1;0;0;0;0;0;0;;0;0;1
5000;10;2083;4;release a part on stopper 1;212;20;1;0;0;2023-10-16 17:25:49;2023-10-16 17:26:09;2023-10-16 17:26:19;2023-10-16 17:26:40;1;1;0;0;0;0;0;0;;0;0;1
2;10;2084;1;Start: check buffer state and avaialbel orders order;1109;20;1;0;0;2023-10-16 17:26:09;2023-10-16 17:26:09;2023-10-16 17:26:09;2023-10-16 17:26:09;1;0;0;0;0;0;0;0;SELECT IF((#Parameter1 + #Parameter2)<=2, 1, 0) as ReturnValue;0;0;1
10;10;2084;101;manual boxing;502;0;1;0;0;2023-10-16 17:25:25;2023-10-16 17:25:25;2023-10-16 17:29:56;2023-10-16 17:37:35;1;11;0;0;0;0;0;0;;0;0;1
10;10;2084;102;manual boxing;502;0;1;0;0;2023-10-16 17:25:25;2023-10-16 17:25:25;2023-10-16 17:29:56;2023-10-16 17:37:35;1;11;0;0;0;0;0;0;;0;0;1
