ErrorNo;SolutionNo;LinkType;LinkDesc;Link
11;1;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo11_Pic1_1.jpg
11;1;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo11_Pic1_2.jpg
11;2;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo11_Pic2_1.jpg
11;2;3;(BG18/BG19/BG20);../SensorDataSheets/RASS/SIEN-M5B-PS-S-L_2007-05b_719235D4.pdf
11;3;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo11_Pic3_1.jpg
11;3;3;(K6-BG6);../SensorDataSheets/RASS/Sommer_NJR04_E2SK.pdf
23;1;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo23_Pic1_1.jpg
23;2;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo23_Pic2_1.jpg
23;2;3;(G1-BG50/G1-BG51);../SensorDataSheets/RASS/SOEG-L-Q30-PA-S-2L_2007-07b_719263D6.pdf
31;1;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo31_Pic1_1.jpg
31;2;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo31_Pic2_1.jpg
31;2;3;(Camera);../SensorDataSheets/RASS/SBO_-Q_2008-09b_738346d6.pdf
31;3;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo31_Pic3_1.jpg
31;3;3;(Light bed);../SensorDataSheets/luminous-panel-e-b-in-datasheet_hansen.pdf
41;1;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo41_Pic1_1.jpg
41;2;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo41_Pic2_1.jpg
41;2;3;(H1-BG10/H1-BG11/H1-BG12);../SensorDataSheets/RASS/SOEG-L-Q30-PA-S-2L_2007-07b_719263D6.pdf
42;1;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo42_Pic1_1.jpg
42;2;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo42_Pic2_1.jpg
42;2;3;(H1-BG10);../SensorDataSheets/RASS/SOEG-L-Q30-PA-S-2L_2007-07b_719263D6.pdf
43;1;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo43_Pic1_1.jpg
43;2;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo43_Pic2_1.jpg
43;2;3;(H1-BG11);../SensorDataSheets/RASS/SOEG-L-Q30-PA-S-2L_2007-07b_719263D6.pdf
44;1;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo44_Pic1_1.jpg
44;2;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo44_Pic2_1.jpg
44;2;3;(H1-BG12);../SensorDataSheets/RASS/SOEG-L-Q30-PA-S-2L_2007-07b_719263D6.pdf
45;1;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo45_Pic1_1.jpg
45;2;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo45_Pic2_1.jpg
45;2;3;(H1-MB9);../SensorDataSheets/RASS/CPE10-M1BH-5L-M7.pdf
45;3;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo45_Pic3_1.jpg
45;3;3;(H1-BG9);../SensorDataSheets/RASS/SDE5-D10-O-Q4E-P-M8.pdf
63;1;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo63_Pic1_1.jpg
63;2;1;NULL;../Images/Error_Pictures/RASS_Errors/RassErrorNo63_Pic2_1.jpg
63;2;3;(H1-BG14/H1-BG15/H1-BG16);../SensorDataSheets/RASS/SOEG-L-Q30-PA-S-2L_2007-07b_719263D6.pdf
20042;1;4;NULL;153475
