ResourceID;ResourceName;Description;PlcType;IP;Picture;ParallelProcessing;Automatic;WebPage;DefaultBrowser;TopologyType;AGV;ResourceType;OpcUaEndpoint;OpcUaNodeId
0;no resource;no resource;1;127.0.0.1;Pictures\Default\MES4.PNG;0;0;NULL;0;0;0;0;NULL;NULL
1;CP-F-ASRS32-P;CP-Factory ASRS32 automated storage for pallets and covers.;2;172.21.1.1;Pictures\TransferFactory\ASRS32.png;0;0;http://172.21.1.1;1;2;0;0;NULL;NULL
2;CP-AM-iPICK;CP-Lab/Factory straight base with pick by light application.;2;172.21.2.1;Pictures\TransferFactory\iPick.png;0;0;http://172.21.2.2:8080/webvisu.htm;1;1;0;0;NULL;NULL
3;CP-AM-CAM;CP-Lab/Factory straight base with camera application.;2;172.21.3.1;Pictures\TransferFactory\ModulKameraPruefen.png;0;0;http://172.21.3.50;1;1;0;0;NULL;NULL
4;CP-AM-MAG-BACK;CP-Factory straight base with input application for back cover.;2;172.21.4.1;Pictures\TransferFactory\ModulMagazinNeu2014.png;0;0;http://172.21.4.1;1;1;0;0;NULL;NULL
5;CP-AM-MPRESS;CP-Factory straight base with muscle press application.;2;172.21.5.1;Pictures\TransferFactory\ModulPressenMuscleNeu2015.png;0;0;http://172.21.5.1;1;1;0;0;NULL;NULL
6;CP-AM-MAN;CP-Lab/Factory straight base with manual workplace.;2;172.21.6.1;Pictures\Default\Operations\ManualAssembly.png;0;0;http://172.21.6.1;1;1;0;0;NULL;NULL
7;CP-F-COBOT;CP-Factory bypass base with UR3e robot.;2;172.21.7.1;Pictures\TransferFactory\UR3e.png;0;0;http://172.21.7.1;1;1;0;0;NULL;NULL
8;CP-F-ASRS20-B;CP Factory ASRS20 automated storage for boxes.;2;172.21.8.1;Pictures\TransferFactory\ASRS20-Boxes.png;0;0;http://172.21.0.90/I4.0/mes4/EN/mes4.php?content=production&subcontent=workstations&resourceID=x ;1;0;0;0;NULL;NULL
9;MAN-MOBILE;Mobile manual workplace.;2;127.0.0.1;Pictures\TransferFactory\075-011_Mobile-Workstation.png;0;0;http://172.21.0.90/I4.0/mes4/EN/mes4.php?content=production&subcontent=workstations&resourceID=x;1;0;0;2;NULL;NULL
10;LOG-MR-B;Mobile robot Robotino for boxes.;1;127.0.0.1;Pictures\TransferFactory\_Robotino mit Kistentransport.png;0;0;http://172.21.10.90;1;4;1;0;NULL;NULL
90;SPARE PARTS;MMS spare part storage.;2;127.0.0.1;Pictures\TransferFactory\MAN-STORAGE.png;0;0;http://172.21.0.90/I4.0/mes4/EN/mes4.php?content=production&subcontent=buffers&ID=90;1;0;0;2;NULL;NULL
