WPNo;StepNo;ONo;OPos;ParameterNo;Parameter;ParameterType
9000;10;1000;1;1;0;1
9000;10;1000;1;2;20001;1
9000;10;1000;1;3;E;1
9000;10;1000;1;4;3;1
9000;10;1000;1;5;1;1
9000;10;1000;1;6;Schmidt;1
9000;10;1000;1;7;Zimmermann;1
9000;10;1000;1;8;0;1
9000;10;1001;1;1;13;1
9000;10;1001;1;2;20002;1
9000;10;1001;1;3;U;1
9000;10;1001;1;4;1;1
9000;10;1001;1;5;1;1
9000;10;1001;1;6;Meyer;1
9000;10;1001;1;7;Zimmermann;1
9000;10;1001;1;8;0;1
9000;10;1002;1;1;4;1
9000;10;1002;1;2;20003;1
9000;10;1002;1;3;P;1
9000;10;1002;1;4;1;1
9000;10;1002;1;5;1;1
9000;10;1002;1;6;Bohr;1
9000;10;1002;1;7;Fruehwagner;1
9000;10;1002;1;8;0;1
9000;10;1003;1;1;7;1
9000;10;1003;1;2;20004;1
9000;10;1003;1;3;P;1
9000;10;1003;1;4;9;1
9000;10;1003;1;5;1;1
9000;10;1003;1;6;Meyer;1
9000;10;1003;1;7;Nachtweih;1
9000;10;1003;1;8;0;1
9000;10;1004;1;1;7;1
9000;10;1004;1;2;20004;1
9000;10;1004;1;3;M;1
9000;10;1004;1;4;2;1
9000;10;1004;1;5;1;1
9000;10;1004;1;6;Gutfried;1
9000;10;1004;1;7;Haeberle;1
9000;10;1004;1;8;0;1
9000;10;1005;1;1;0;1
9000;10;1005;1;2;20005;1
9000;10;1005;1;3;E;1
9000;10;1005;1;4;1;1
9000;10;1005;1;5;1;1
9000;10;1005;1;6;Schmidt;1
9000;10;1005;1;7;Fruehwagner;1
9000;10;1005;1;8;0;1
9000;10;1006;1;1;0;1
9000;10;1006;1;2;20006;1
9000;10;1006;1;3;E;1
9000;10;1006;1;4;5;1
9000;10;1006;1;5;1;1
9000;10;1006;1;6;Findig;1
9000;10;1006;1;7;Spaeth;1
9000;10;1006;1;8;0;1
9000;10;1007;1;1;0;1
9000;10;1007;1;2;20007;1
9000;10;1007;1;3;E;1
9000;10;1007;1;4;8;1
9000;10;1007;1;5;1;1
9000;10;1007;1;6;Schmidt;1
9000;10;1007;1;7;Spaeth;1
9000;10;1007;1;8;0;1
9000;10;1008;1;1;0;1
9000;10;1008;1;2;20008;1
9000;10;1008;1;3;E;1
9000;10;1008;1;4;1;1
9000;10;1008;1;5;1;1
9000;10;1008;1;6;Schmidt;1
9000;10;1008;1;7;Fruehwagner;1
9000;10;1008;1;8;0;1
9000;10;1009;1;1;0;1
9000;10;1009;1;2;20009;1
9000;10;1009;1;3;M;1
9000;10;1009;1;4;6;1
9000;10;1009;1;5;1;1
9000;10;1009;1;6;Findig;1
9000;10;1009;1;7;Haeberle;1
9000;10;1009;1;8;0;1
9000;10;1010;1;1;12;1
9000;10;1010;1;2;20010;1
9000;10;1010;1;3;M;1
9000;10;1010;1;4;4;1
9000;10;1010;1;5;1;1
9000;10;1010;1;6;Gutfried;1
9000;10;1010;1;7;Nachtweih;1
9000;10;1010;1;8;0;1
9000;10;1011;1;1;12;1
9000;10;1011;1;2;20011;1
9000;10;1011;1;3;P;1
9000;10;1011;1;4;9;1
9000;10;1011;1;5;1;1
9000;10;1011;1;6;Gutfried;1
9000;10;1011;1;7;Spaeth;1
9000;10;1011;1;8;0;1
9000;10;1012;1;1;12;1
9000;10;1012;1;2;20012;1
9000;10;1012;1;3;U;1
9000;10;1012;1;4;6;1
9000;10;1012;1;5;1;1
9000;10;1012;1;6;Gutfried;1
9000;10;1012;1;7;Nachtweih;1
9000;10;1012;1;8;0;1
9000;10;1013;1;1;1;1
9000;10;1013;1;2;20013;1
9000;10;1013;1;3;U;1
9000;10;1013;1;4;1;1
9000;10;1013;1;5;1;1
9000;10;1013;1;6;Meyer;1
9000;10;1013;1;7;Nachtweih;1
9000;10;1013;1;8;0;1
9000;10;1014;1;1;1;1
9000;10;1014;1;2;20013;1
9000;10;1014;1;3;E;1
9000;10;1014;1;4;9;1
9000;10;1014;1;5;1;1
9000;10;1014;1;6;Schmidt;1
9000;10;1014;1;7;Spaeth;1
9000;10;1014;1;8;0;1
9000;10;1015;1;1;1;1
9000;10;1015;1;2;20013;1
9000;10;1015;1;3;U;1
9000;10;1015;1;4;9;1
9000;10;1015;1;5;1;1
9000;10;1015;1;6;Bohr;1
9000;10;1015;1;7;Nachtweih;1
9000;10;1015;1;8;0;1
9000;10;1016;1;1;15;1
9000;10;1016;1;2;20014;1
9000;10;1016;1;3;P;1
9000;10;1016;1;4;9;1
9000;10;1016;1;5;1;1
9000;10;1016;1;6;Findig;1
9000;10;1016;1;7;Fruehwagner;1
9000;10;1016;1;8;0;1
9000;10;1017;1;1;7;1
9000;10;1017;1;2;20015;1
9000;10;1017;1;3;P;1
9000;10;1017;1;4;2;1
9000;10;1017;1;5;1;1
9000;10;1017;1;6;Schmidt;1
9000;10;1017;1;7;Nachtweih;1
9000;10;1017;1;8;0;1
9000;10;1018;1;1;15;1
9000;10;1018;1;2;20016;1
9000;10;1018;1;3;M;1
9000;10;1018;1;4;9;1
9000;10;1018;1;5;1;1
9000;10;1018;1;6;Findig;1
9000;10;1018;1;7;Spaeth;1
9000;10;1018;1;8;0;1
9000;10;1019;1;1;11;1
9000;10;1019;1;2;20017;1
9000;10;1019;1;3;M;1
9000;10;1019;1;4;9;1
9000;10;1019;1;5;1;1
9000;10;1019;1;6;Findig;1
9000;10;1019;1;7;Nachtweih;1
9000;10;1019;1;8;0;1
9000;10;1020;1;1;11;1
9000;10;1020;1;2;20017;1
9000;10;1020;1;3;M;1
9000;10;1020;1;4;4;1
9000;10;1020;1;5;1;1
9000;10;1020;1;6;Meyer;1
9000;10;1020;1;7;Nachtweih;1
9000;10;1020;1;8;0;1
9000;10;1021;1;1;11;1
9000;10;1021;1;2;20017;1
9000;10;1021;1;3;M;1
9000;10;1021;1;4;5;1
9000;10;1021;1;5;1;1
9000;10;1021;1;6;Findig;1
9000;10;1021;1;7;Fruehwagner;1
9000;10;1021;1;8;0;1
9000;10;1022;1;1;0;1
9000;10;1022;1;2;20018;1
9000;10;1022;1;3;E;1
9000;10;1022;1;4;4;1
9000;10;1022;1;5;1;1
9000;10;1022;1;6;Bohr;1
9000;10;1022;1;7;Luiderer;1
9000;10;1022;1;8;0;1
9000;10;1023;1;1;7;1
9000;10;1023;1;2;20019;1
9000;10;1023;1;3;M;1
9000;10;1023;1;4;9;1
9000;10;1023;1;5;1;1
9000;10;1023;1;6;Findig;1
9000;10;1023;1;7;Spaeth;1
9000;10;1023;1;8;0;1
9000;10;1024;1;1;4;1
9000;10;1024;1;2;20020;1
9000;10;1024;1;3;E;1
9000;10;1024;1;4;9;1
9000;10;1024;1;5;1;1
9000;10;1024;1;6;Findig;1
9000;10;1024;1;7;Spaeth;1
9000;10;1024;1;8;0;1
9000;10;1025;1;1;3;1
9000;10;1025;1;2;20021;1
9000;10;1025;1;3;M;1
9000;10;1025;1;4;9;1
9000;10;1025;1;5;1;1
9000;10;1025;1;6;Bohr;1
9000;10;1025;1;7;Fruehwagner;1
9000;10;1025;1;8;0;1
9000;10;1026;1;1;3;1
9000;10;1026;1;2;20021;1
9000;10;1026;1;3;P;1
9000;10;1026;1;4;1;1
9000;10;1026;1;5;2;1
9000;10;1026;1;6;Findig;1
9000;10;1026;1;7;Nachtweih;1
9000;10;1026;1;8;0;1
9000;10;1027;1;1;7;1
9000;10;1027;1;2;20022;1
9000;10;1027;1;3;P;1
9000;10;1027;1;4;4;1
9000;10;1027;1;5;1;1
9000;10;1027;1;6;Bohr;1
9000;10;1027;1;7;Fruehwagner;1
9000;10;1027;1;8;0;1
9000;10;1028;1;1;4;1
9000;10;1028;1;2;20023;1
9000;10;1028;1;3;P;1
9000;10;1028;1;4;3;1
9000;10;1028;1;5;1;1
9000;10;1028;1;6;Schmidt;1
9000;10;1028;1;7;Fruehwagner;1
9000;10;1028;1;8;0;1
9000;10;1029;1;1;14;1
9000;10;1029;1;2;20024;1
9000;10;1029;1;3;U;1
9000;10;1029;1;4;4;1
9000;10;1029;1;5;1;1
9000;10;1029;1;6;Gutfried;1
9000;10;1029;1;7;Nachtweih;1
9000;10;1029;1;8;0;1
9000;10;1030;1;1;13;1
9000;10;1030;1;2;20025;1
9000;10;1030;1;3;P;1
9000;10;1030;1;4;9;1
9000;10;1030;1;5;1;1
9000;10;1030;1;6;Meyer;1
9000;10;1030;1;7;Fruehwagner;1
9000;10;1030;1;8;0;1
9000;10;1031;1;1;12;1
9000;10;1031;1;2;20026;1
9000;10;1031;1;3;P;1
9000;10;1031;1;4;8;1
9000;10;1031;1;5;1;1
9000;10;1031;1;6;Meyer;1
9000;10;1031;1;7;Schmitt;1
9000;10;1031;1;8;0;1
9000;10;1032;1;1;12;1
9000;10;1032;1;2;20026;1
9000;10;1032;1;3;P;1
9000;10;1032;1;4;9;1
9000;10;1032;1;5;1;1
9000;10;1032;1;6;Schmidt;1
9000;10;1032;1;7;Fruehwagner;1
9000;10;1032;1;8;0;1
9000;10;1033;1;1;14;1
9000;10;1033;1;2;20027;1
9000;10;1033;1;3;E;1
9000;10;1033;1;4;9;1
9000;10;1033;1;5;1;1
9000;10;1033;1;6;Meyer;1
9000;10;1033;1;7;Fruehwagner;1
9000;10;1033;1;8;0;1
9000;10;1034;1;1;12;1
9000;10;1034;1;2;20028;1
9000;10;1034;1;3;U;1
9000;10;1034;1;4;8;1
9000;10;1034;1;5;1;1
9000;10;1034;1;6;Bohr;1
9000;10;1034;1;7;Spaeth;1
9000;10;1034;1;8;0;1
9000;10;1035;1;1;15;1
9000;10;1035;1;2;20029;1
9000;10;1035;1;3;P;1
9000;10;1035;1;4;9;1
9000;10;1035;1;5;1;1
9000;10;1035;1;6;Schmidt;1
9000;10;1035;1;7;Luiderer;1
9000;10;1035;1;8;0;1
9000;10;1036;1;1;15;1
9000;10;1036;1;2;20030;1
9000;10;1036;1;3;M;1
9000;10;1036;1;4;7;1
9000;10;1036;1;5;1;1
9000;10;1036;1;6;Schmidt;1
9000;10;1036;1;7;Fruehwagner;1
9000;10;1036;1;8;0;1
9000;10;1037;1;1;15;1
9000;10;1037;1;2;20031;1
9000;10;1037;1;3;P;1
9000;10;1037;1;4;9;1
9000;10;1037;1;5;1;1
9000;10;1037;1;6;Schmidt;1
9000;10;1037;1;7;Nachtweih;1
9000;10;1037;1;8;0;1
9000;10;1038;1;1;15;1
9000;10;1038;1;2;20032;1
9000;10;1038;1;3;P;1
9000;10;1038;1;4;1;1
9000;10;1038;1;5;1;1
9000;10;1038;1;6;Schmidt;1
9000;10;1038;1;7;Fruehwagner;1
9000;10;1038;1;8;0;1
9000;10;1039;1;1;15;1
9000;10;1039;1;2;20033;1
9000;10;1039;1;3;P;1
9000;10;1039;1;4;4;1
9000;10;1039;1;5;1;1
9000;10;1039;1;6;Findig;1
9000;10;1039;1;7;Fruehwagner;1
9000;10;1039;1;8;0;1
9000;10;1040;1;1;13;1
9000;10;1040;1;2;20034;1
9000;10;1040;1;3;M;1
9000;10;1040;1;4;9;1
9000;10;1040;1;5;1;1
9000;10;1040;1;6;Meyer;1
9000;10;1040;1;7;Fruehwagner;1
9000;10;1040;1;8;0;1
9000;10;1041;1;1;14;1
9000;10;1041;1;2;20035;1
9000;10;1041;1;3;E;1
9000;10;1041;1;4;1;1
9000;10;1041;1;5;1;1
9000;10;1041;1;6;Schmidt;1
9000;10;1041;1;7;Nachtweih;1
9000;10;1041;1;8;0;1
9000;10;1042;1;1;13;1
9000;10;1042;1;2;20036;1
9000;10;1042;1;3;E;1
9000;10;1042;1;4;9;1
9000;10;1042;1;5;1;1
9000;10;1042;1;6;Meyer;1
9000;10;1042;1;7;Nachtweih;1
9000;10;1042;1;8;0;1
9000;10;1043;1;1;1;1
9000;10;1043;1;2;20037;1
9000;10;1043;1;3;U;1
9000;10;1043;1;4;3;1
9000;10;1043;1;5;1;1
9000;10;1043;1;6;Bohr;1
9000;10;1043;1;7;Nachtweih;1
9000;10;1043;1;8;0;1
9000;10;1044;1;1;14;1
9000;10;1044;1;2;20038;1
9000;10;1044;1;3;E;1
9000;10;1044;1;4;2;1
9000;10;1044;1;5;1;1
9000;10;1044;1;6;Bohr;1
9000;10;1044;1;7;Nachtweih;1
9000;10;1044;1;8;0;1
9000;10;1045;1;1;14;1
9000;10;1045;1;2;20038;1
9000;10;1045;1;3;E;1
9000;10;1045;1;4;7;1
9000;10;1045;1;5;2;1
9000;10;1045;1;6;Bohr;1
9000;10;1045;1;7;Nachtweih;1
9000;10;1045;1;8;0;1
9000;10;1046;1;1;4;1
9000;10;1046;1;2;20039;1
9000;10;1046;1;3;E;1
9000;10;1046;1;4;9;1
9000;10;1046;1;5;1;1
9000;10;1046;1;6;Meyer;1
9000;10;1046;1;7;Spaeth;1
9000;10;1046;1;8;0;1
9000;10;1047;1;1;0;1
9000;10;1047;1;2;20039;1
9000;10;1047;1;3;P;1
9000;10;1047;1;4;5;1
9000;10;1047;1;5;2;1
9000;10;1047;1;6;Meyer;1
9000;10;1047;1;7;Spaeth;1
9000;10;1047;1;8;0;1
9000;10;1048;1;1;0;1
9000;10;1048;1;2;20039;1
9000;10;1048;1;3;E;1
9000;10;1048;1;4;9;1
9000;10;1048;1;5;1;1
9000;10;1048;1;6;Findig;1
9000;10;1048;1;7;Fruehwagner;1
9000;10;1048;1;8;0;1
9000;10;1049;1;1;11;1
9000;10;1049;1;2;20040;1
9000;10;1049;1;3;E;1
9000;10;1049;1;4;1;1
9000;10;1049;1;5;1;1
9000;10;1049;1;6;Schmidt;1
9000;10;1049;1;7;Fruehwagner;1
9000;10;1049;1;8;0;1
9000;10;1050;1;1;11;1
9000;10;1050;1;2;20041;1
9000;10;1050;1;3;E;1
9000;10;1050;1;4;7;1
9000;10;1050;1;5;1;1
9000;10;1050;1;6;Bohr;1
9000;10;1050;1;7;Nachtweih;1
9000;10;1050;1;8;0;1
1;10;2007;1;1;108;2
1;10;2007;1;2;0;2
1;10;2007;1;3;0;2
1;10;2007;1;4;0;2
1;10;2007;1;5;0;2
1;10;2007;1;6;0;2
1;10;2007;1;7;0;2
1;10;2007;1;8;0;2
1;10;2007;1;9;0;4
1;10;2007;1;10;0;4
1;10;2007;1;11;1;1
1;10;2007;1;12;8;1
11;10;2007;101;1;1;4
11;10;2007;101;2;90;1
11;10;2007;101;3;108;2
9000;10;2024;1;1;0;1
9000;10;2024;1;2;20048;1
9000;10;2024;1;3;M;1
9000;10;2024;1;4;10;1
9000;10;2024;1;5;1;1
9000;10;2024;1;6;hcg;1
9000;10;2024;1;7;hcg;1
9000;10;2024;1;8;0;1
1;10;2044;1;1;0;4
1;10;2044;1;2;1;4
1;10;2046;1;1;1;4
1;10;2046;1;2;1;4
9;10;2046;101;1;4;4
9;10;2046;101;2;90;1
9;10;2046;101;3;1214;2
9;10;2046;102;1;6;4
9;10;2046;102;2;90;1
9;10;2046;102;3;1214;2
9;10;2046;103;1;7;4
9;10;2046;103;2;90;1
9;10;2046;103;3;1214;2
6002;10;2047;1;1;91;1
6002;10;2047;1;2;0;4
6002;10;2047;1;3;0;2
9000;10;2049;1;1;2;1
9000;10;2049;1;2;20045;1
9000;10;2049;1;3;M;1
9000;10;2049;1;4;5;1
9000;10;2049;1;5;1;1
9000;10;2049;1;6;FestoConditionMonitoring;1
9000;10;2049;1;7;Hcg;1
9000;10;2049;1;8;0;1
3;10;2050;1;1;0;4
3;10;2050;1;2;1;4
3;10;2051;1;1;0;4
3;10;2051;1;2;1;4
3;10;2052;1;1;0;4
3;10;2052;1;2;1;4
9000;10;2062;1;1;7;2
9000;10;2062;1;2;20044;2
9000;10;2062;1;3;M;2
9000;10;2062;1;4;5;2
9000;10;2062;1;5;1;2
9000;10;2062;1;6;Festo Condition Monitoring;2
9000;10;2062;1;7;Ggg;2
9000;10;2062;1;8;0;2
9000;10;2063;1;1;7;2
