Id;PNo
0;26
1;0
1;25
1;26
1;107
1;108
1;109
1;110
1;210
1;211
1;212
1;213
1;214
1;310
1;311
1;312
1;313
1;314
1;410
1;411
1;412
1;413
1;414
1;510
1;511
1;512
1;513
1;514
1;1214
1;2000
2;0
2;107
2;108
2;109
2;110
3;0
3;111
3;112
3;113
3;114
4;0
4;210
4;310
4;410
4;510
5;0
5;120
6;0
6;130
7;0
7;21
7;27
8;0
8;21
8;28
9;0
9;21
9;27
9;28
10;0
10;101
10;102
10;103
10;104
10;107
10;108
10;109
10;110
10;111
10;112
10;113
10;114
10;210
10;310
10;410
10;510
11;140
11;141
11;142
90;150395
90;152583
90;152584
90;152586
90;153366
90;153367
90;153475
90;157212
90;158962
90;175041
90;547304
90;547307
90;552812
90;8039304
90;8161467
91;0
91;1214
91;2000
92;112
92;113
92;114
92;200
92;310
92;410
92;510
